526	Tree Overflow Builder Stack DefaultTreeBuilder Tree Builder dataset recursion cases Error building	Tree Overflow Builder Error Stack	Infinite Recursion DefaultTreeBuilder Tree Builder
552	Sparse Cluster Vectors Access RandomAccessSparseVector Random Access Sparse Vector Random NamedVectors Named Vectors Named AbstractCluster Cluster issues	Access Sparse Named Cluster Vectors Random Vector	AbstractCluster eliminates NamedVectors replacing RandomAccessSparseVector Cluster Named Vectors Random Access Sparse Vector
561	Test Classifier TestClassifier Test Classifier type correctly command parameters handle source	Test Classifier	TestClassifier correctly handle type source command parameters Test Classifier
564	KMeans distance convergence KMeansClusterer KMeans Clusterer Clusterer distanceThreshold distance Threshold test Threshold Map parameter	KMeans distance test convergence Delta Map Reduce Threshold Convergence Clusterer	KMeansClusterer distanceThreshold parameter testConvergence Iterable Cluster clusters distanceThreshold method KMeans Clusterer distance Threshold test Convergence distance Threshold
565	bit operations signature feature Minhash array vector Features implementation hashed		Features incorrectly hashed Minhash
576	Storage Item AVG updateItemPref update Item Pref preference JDBCDiff delta Pref remove removePreference remove Preference	Item JDBCDiff Storage Average remove Preference Running Pref update	AbstractJDBCDiffStorage updateItemPref updating AVG incorrectly cases JDBCDiff Storage update Item Pref
580	Bayes Memory base Data data basePath base Path InMemoryDataStore Memory Data Store Path Pierre dataSource data Source	Bayes Data Memory Path Base data Source model base Parameters	Missing basePath Bayes job InMemoryDataStore base Path Memory Data Store
583	chunk file files sequence data create output Loss directory overwrite		Loss data create sequence files directory
602	Implementation org confluence dataset wiki Partial apache MAHOUT fails operations		Partial Implementation exceptions
604	Classifier data training exception Bayes tested fails		Bayes Classifier fails data training data
610	Row Similarity Mapper cooccurences isn RowPair Row Pair Weighted Coocurrence Job RowB Row	Row Similarity Coocurrence Mapper Job Cooccurences Array Weighted Coocurences Recommender	Coocurrences SimilarityReducer Similarity Reducer
614	Output Record Hadoop FileOutputFormat File Output Format work Attempt File Writer apache classifier	Output Attempt Record File Context Task Writer System Multiple Format	org apache mahout classifier baytes MultipleOutputFormat working intended Hadoop Multiple Output Format
625	test support data pattern patterns FPGrowth attached returns retail higher		generated patterns support higher reality
631	Std Weighted WeightedRunningAverage Weighted Running Average Running WeightedRunningAverageAndStdDev Weighted Running Average Std Dev Dev Average datum bug	Std Running Average Weighted Dev	Small bug WeightedRunningAverage add WeightedRunningAverageAndStdDev Weighted Running Average Weighted Running Average Std Dev
641	Lanczos Job Matrix Conf setConf set Conf DistributedRowMatrix Distributed Row Matrix Row Distributed hadoop method	Job Lanczos Squared Distributed Row Matrix Multiplication set Conf Solver	DistributedRowMatrix hadoop jobs ignore Configuration set setConf Distributed Row Matrix set Conf
678	Gradient Pointer Mixed MixedGradient Mixed Gradient algorithm Logistic Ranking object category Online	Gradient Pointer Logistic Ranking Mixed Regression Online Exception	NullPointerException MixedGradient SGD algorithm Pointer Exception Mixed Gradient
